University of South Florida Sarasota-Manatee,usfsm.edu,FL
University of South Florida Saint Petersburg,usfsp.edu,FL
University of Tampa,ut.edu,FL
University of West Florida,uwf.edu,FL
Valencia College,valenciacollege.edu,FL
Warner University,warner.edu,FL
Webber International University,webber.edu,FL
Agnes Scott College,agnesscott.edu,GA
Albany Technical College,albanytech.edu,GA
Armstrong Atlantic State University,armstrong.edu,GA
Atlanta Technical College,atlantatech.edu,GA
Atlanta Metropolitan State College,atlm.edu,GA
Berry College,berry.edu,GA
Carver College,carver.edu,GA
Child Care Education Institute,cceionline.edu,GA
Central Georgia Technical College,centralgatech.edu,GA
Clayton State University,clayton.edu,GA
Columbus State University,columbusstate.edu,GA
Columbus Technical College,columbustech.edu,GA
Covenant College,covenant.edu,GA
Dalton State,daltonstate.edu,GA
Darton State College,darton.edu,GA
East Georgia State College,ega.edu,GA
Emory University,emory.edu,GA
Georgia Institute of Technology,gatech.edu,GA
Georgia College,gcsu.edu,GA
Georgia Southern University,georgiasouthern.edu,GA
Georgia Gwinnett College,ggc.edu,GA
Georgia Perimeter College,gpc.edu,GA
Georgia Regents University Augusta,gru.edu,GA
Georgia State University,gsu.edu,GA
Georgia South Western State University,gsw.edu,GA
Interactive College of Technology,ict.edu,GA
Atlanta's John Marshall Law School,johnmarshall.edu,GA
Kennesaw State University,kennesaw.edu,GA
Lanier Technical College,laniertech.edu,GA
Life University,life.edu,GA
Mercer University,mercer.edu,GA
Middle Georgia State College,mga.edu,GA
Morehouse College,morehouse.edu,GA
Morehouse School of Medicine,msm.edu,GA
North Georgia Technical College,northgatech.edu,GA
Oglethorpe University,oglethorpe.edu,GA
Okefenokee Technical College,okefenokeetech.edu,GA
Paine College,paine.edu,GA
Pfeiffer University,pfeiffer.edu,GA
Piedmont College,piedmont.edu,GA
Reinhardt University,reinhardt.edu,GA
Savannah State University,savannahstate.edu,GA
Savannah College of Art and Design,scad.edu,GA
Shorter University,shorter.edu,GA
Southeastern Technical College,southeasterntech.edu,GA
Spelman College,spelman.edu,GA
Southern Polytechnic State University,spsu.edu,GA
Thomas University,thomasu.edu,GA
University of Georgia,uga.edu,GA
University of North Georgia,ung.edu,GA
University System of Georgia,usg.edu,GA
Valdosta State University,valdosta.edu,GA
University of West Georgia,westga.edu,GA
Wiregrass Georgia Technical College,wiregrass.edu,GA
Brigham Young University Hawaii,byuh.edu,HI
Chaminade University,chaminade.edu,HI
University of Hawaii at Manoa,hawaii.edu,HI
Mid-Pacific Institute,midpac.edu,HI
AIB College of Business,aib.edu,IA
Central College,central.edu,IA
Coe College,coe.edu,IA
Cornell College,cornellcollege.edu,IA
Des Moines Area Community College,dmacc.edu,IA
Dordt College,dordt.edu,IA
Drake University,drake.edu,IA
Divine Word College,dwci.edu,IA
Eastern Iowa Community Colleges,eicc.edu,IA
Grinnell College,grinnell.edu,IA
Hawkeye Community College,hawkeyecollege.edu,IA
Iowa State University,iastate.edu,IA
Iowa Central Community College,iowacentral.edu,IA
Iowa Wesleyan College,iwc.edu,IA
Iowa Western Community College,iwcc.edu,IA
Kaplan University,kaplanuniversity.edu,IA
Kirkwood Community College,kirkwood.edu,IA
La' James College,lajames.edu,IA
Loras College,loras.edu,IA
Luther College,luther.edu,IA
Maharishi University of Management,mum.edu,IA
Northeast Iowa Community College,nicc.edu,IA
Palmer College of Chiropractic,palmer.edu,IA
Saint Ambrose University,sau.edu,IA
Simpson College,simpson.edu,IA
Southwestern Community College,swcciowa.edu,IA
Univeristy of Iowa,uiowa.edu,IA
Upper Iowa University,uiu.edu,IA
University of Northern Iowa,uni.edu,IA
Wartburg College,wartburg.edu,IA
Waldorf College,waldorf.edu,IA
Boise State University,boisestate.edu,ID
Brigham Young University Idaho,byui.edu,ID
The College of Idaho,collegeofidaho.edu,ID
College of Southern Idaho,csi.edu,ID
Idaho State University,isu.edu,ID
University of Idaho,uidaho.edu,ID
Augustana College,augustana.edu,IL
Aurora University,aurora.edu,IL
Benedictine University,ben.edu,IL
Bradley University,bradley.edu,IL
City Colleges of Chicago,ccc.edu,IL
